object_name,object_type,row_count
ADDR_BELONGS_DATA,table,37118
ADDR_CODES,table,30100
ADMIN_CAT_CODES,table,211
ADMIN_CAT_CODE_TYPE_REL,table,0
ADMIN_CAT_TYPES,table,0
ALTNAME_CODES,table,21
ALTNAME_DATA,table,207556
APPOINTMENT_CODES,table,116
APPOINTMENT_CODE_TYPE_REL,table,109
APPOINTMENT_TYPES,table,13
ASSOC_CODES,table,498
ASSOC_CODE_TYPE_REL,table,463
ASSOC_DATA,table,189187
ASSOC_TYPES,table,45
ASSUME_OFFICE_CODES,table,6
BIOG_ADDR_CODES,table,22
BIOG_ADDR_DATA,table,458790
BIOG_INST_CODES,table,26
BIOG_INST_DATA,table,559
BIOG_MAIN,table,659458
BIOG_SOURCE_DATA,table,1217142
BIOG_TEXT_DATA,table,52654
CHORONYM_CODES,table,173
COUNTRY_CODES,table,11
DYNASTIES,table,85
ENTRY_CODES,table,273
ENTRY_CODE_TYPE_REL,table,284
ENTRY_DATA,table,264045
ENTRY_TYPES,table,29
ETHNICITY_TRIBE_CODES,table,498
EVENTS_ADDR,table,4
EVENTS_DATA,table,427
EVENT_CODES,table,117
EXTANT_CODES,table,4
GANZHI_CODES,table,61
HOUSEHOLD_STATUS_CODES,table,34
INDEXYEAR_TYPE_CODES,table,31
KINSHIP_CODES,table,479
KIN_DATA,table,558245
KIN_MOURNING,table,159
KIN_MOURNING_STEPS,table,159
LITERARYGENRE_CODES,table,12
MEASURE_CODES,table,7
MERGED_PERSON_DATA,table,2374
NIAN_HAO,table,682
OCCASION_CODES,table,10
OFFICE_CATEGORIES,table,15
OFFICE_CODES,table,34063
OFFICE_CODE_TYPE_REL,table,43682
OFFICE_TYPE_TREE,table,2739
PARENTAL_STATUS_CODES,table,7
POSSESSION_ACT_CODES,table,4
POSSESSION_ADDR,table,62
POSSESSION_DATA,table,60
POSTED_TO_ADDR_DATA,table,463687
POSTED_TO_OFFICE_DATA,table,588889
POSTING_DATA,table,588858
SCHOLARLYTOPIC_CODES,table,32
SOCIAL_INSTITUTION_ADDR,table,3858
SOCIAL_INSTITUTION_ADDR_TYPES,table,2
SOCIAL_INSTITUTION_ALTNAME_CODES,table,1
SOCIAL_INSTITUTION_ALTNAME_DATA,table,0
SOCIAL_INSTITUTION_CODES,table,4011
SOCIAL_INSTITUTION_NAME_CODES,table,2602
SOCIAL_INSTITUTION_TYPES,table,7
STATUS_CODES,table,284
STATUS_CODE_TYPE_REL,table,284
STATUS_DATA,table,72155
STATUS_TYPES,table,13
TEXT_BIBLCAT_CODES,table,144
TEXT_BIBLCAT_CODE_TYPE_REL,table,144
TEXT_BIBLCAT_TYPES,table,51
TEXT_CODES,table,61807
TEXT_INSTANCE_DATA,table,9817
TEXT_ROLE_CODES,table,12
TEXT_TYPE,table,126
YEAR_RANGE_CODES,table,6
